"","KL","CH","Hartigan","CCC","Scott","Marriot","TrCovW","TraceW","Friedman","Rubin","Cindex","DB","Silhouette","Duda","Pseudot2","Beale","Ratkowsky","Ball","Ptbiserial","Frey","McClain","Dunn","Hubert","SDindex","Dindex","SDbw"
"2",1.5909,1709.5419,1624.4039,-22.1091,2591.6113,1.12053210759178e+85,759976155325.825,5251276.0112,2.5722,1.7691,0.2713,1.1472,0.3628,0.9352,123.9766,0.8148,0.127,2625638.0056,0.3736,-0.6491,0.5838,0.0049,0,0.1765,41.5618,2.8225
"3",4.3505,2282.7923,479.9607,-13.1505,5020.807,8.57725601418336e+84,127318365790.543,3050165.2329,6.6737,3.0458,0.1978,0.9886,0.4815,0.9305,84.8467,0.8768,0.1224,1016721.7443,0.6613,3.1859,0.4305,0.0038,0,0.1137,30.2173,0.3672
"4",2.3663,2005.5939,241.868,-9.6633,7134.5306,5.96731082171594e+84,63289523086.7796,2513908.6358,11.1913,3.6955,0.1775,1.1667,0.3642,1.1239,-42.0019,-1.2921,0.1431,628477.159,0.5282,0.5571,0.8506,0.003,0,0.1262,27.295,0.4028
"5",1.4943,1725.663,176.6792,-9.9186,8913.3655,4.23355868458341e+84,43165247363.0336,2269803.3018,14.2743,4.0929,0.1622,1.4404,0.343,0.8543,54.7575,2.0004,0.1364,453960.6604,0.5209,0.5,0.9351,0.0057,0,0.1475,26.0879,0.4635
"6",0.4578,1523.6895,358.1469,-9.5246,11745.081,1.73467767634834e+84,40391562613.3348,2104409.4135,17.9472,4.4146,0.1558,1.374,0.3593,1.1289,-51.7366,-1.3384,0.1644,350734.9022,0.518,0.8098,0.9664,0.003,0,0.1413,24.9003,0.411
"7",3.2113,1531.1334,138.4395,0.3358,13118.8653,1.28321059334812e+84,22619736006.1433,1815102.2175,27.0467,5.1183,0.1399,1.3053,0.3581,1.1565,-66.5833,-1.5857,0.154,259300.3168,0.4905,1.9361,1.1348,0.0037,0,0.1408,22.0715,0.2287
"8",0.9632,1412.442,143.126,2.1791,14053.8905,1.10673541347257e+84,18688338588.3085,1709718.1958,34.884,5.4337,0.1339,1.2977,0.3365,0.8815,36.3089,1.5757,0.1469,213714.7745,0.4515,0.0948,1.3792,0.0028,0,0.1447,20.669,0.1935
"9",0.6053,1331.9757,228.6369,4.6319,16196.6966,5.41122548285749e+83,16971138448.281,1607250.8,38.208,5.7802,0.128,1.3253,0.3431,1.49,-82.21,-3.848,0.1548,178583.4222,0.4544,0.4971,1.3642,0.0028,0,0.1417,19.9729,0.3
"10",0.9136,1329.4231,268.0286,12.7373,18238.3631,2.69931375408541e+83,13648023771.0462,1458633.4393,36.9137,6.3691,0.128,1.2875,0.3568,1.1551,-111.7407,-1.573,0.158,145863.3439,0.4372,7.3828,1.4797,0.0034,0,0.1785,19.155,0.1887
"11",6.0192,1365.6487,64.067,24.6341,22948.7078,4.03700913179903e+82,10983852928.1549,1302938.0806,48.005,7.1302,0.1471,1.1326,0.368,0.5245,467.8824,10.6094,0.1651,118448.9164,0.4601,-16.0813,1.3216,0.0035,0,0.1295,18.7281,0.2199
