"","KL","CH","Hartigan","CCC","Scott","Marriot","TrCovW","TraceW","Friedman","Rubin","Cindex","DB","Silhouette","Duda","Pseudot2","Beale","Ratkowsky","Ball","Ptbiserial","Frey","McClain","Dunn","Hubert","SDindex","Dindex","SDbw"
"2",2.6955,2512.4214,1198.8239,-11.6395,5709.3342,2.28836513947046e+121,70610351534.0092,2846288.3328,3.9054,1.7425,0.2804,1.0662,0.3889,2.7296,-1155.7727,-11.5602,0.0984,1423144.1664,0.4042,0.0317,0.4869,0.0069,0,0.2242,23.9856,2.2849
"3",4.777,2272.0454,320.2732,-4.1248,9468.927,1.81883129015855e+121,23340614346.5916,2136865.58,7.6946,2.321,0.2169,1.2816,0.3818,1.5972,-1042.0839,-6.8211,0.118,712288.5267,0.5719,0.319,0.7413,0.0045,0,0.2035,20.4066,0.4662
"4",8.6853,1755.3497,90.12,-11.3486,13091.9015,1.18625058217966e+121,18619765369.6462,1962734.9763,9.7042,2.5269,0.2154,1.5126,0.3793,1.0084,-9.2827,-0.152,0.1236,490683.7441,0.5814,0.6829,0.7903,0.0058,0,0.1967,19.7582,0.3731
"5",0.1596,1371.5367,232.0664,-19.8315,17853.7132,4.96147765945739e+120,18414662941.0734,1914917.7269,11.9812,2.59,0.2122,1.4498,0.3658,1.5094,-592.2807,-6.1565,0.1441,382983.5454,0.58,12.1839,0.8123,0.0058,0,0.1765,19.4525,0.2948
"6",0.4252,1213.8798,523.8443,-20.2276,19258.2795,4.84328519054376e+120,14777995193.7067,1799193.6642,14.5152,2.7566,0.2268,1.5858,0.2446,1.0658,-114.2811,-1.1265,0.1345,299865.6107,0.4781,-0.5057,1.2982,0.0033,0,0.2105,18.9755,0.3384
"7",3.006,1245.4382,204.2019,-6.3609,25696.7888,1.10943951574778e+120,9550841222.167,1571032.7338,22.7436,3.1569,0.2078,1.6542,0.3507,1.6069,-165.422,-6.8736,0.1506,224433.2477,0.5827,7.7906,0.9746,0.0069,0,0.1936,17.5397,0.2549
"8",0.6464,1156.8211,310.428,-3.3161,28453.461,6.75657278982613e+119,8752692149.3219,1486835.6529,28.3304,3.3357,0.2034,1.7556,0.2621,3.1915,-452.5125,-12.4952,0.149,185854.4566,0.4743,-1.3519,1.582,0.003,0,0.2663,16.6246,0.248
"9",3.1222,1137.8688,-57.3597,5.8501,38191.7793,5.77369217035893e+118,8006178237.3374,1368954.4352,35.8879,3.6229,0.2011,1.457,0.3041,1.5671,-400.9832,-6.5857,0.1744,152106.0484,0.4868,0.008,1.5004,0.0025,0,0.2208,15.8373,0.2198
"10",0.1982,988.6936,523.2009,-1.744,36964.7962,1.00105054012118e+119,8128265535.1215,1391094.4784,34.6706,3.5653,0.2033,1.453,0.2904,1.841,-672.9123,-8.3312,0.1608,139109.4478,0.485,0.1999,1.5045,0.0029,0,0.2208,15.991,0.2067
"11",0.9774,1071.0607,614.5404,20.3896,45694.0531,1.08132437496121e+118,6074924813.4964,1214704.1758,43.687,4.083,0.1791,1.5234,0.3044,1.206,-154.9575,-3.1157,0.1733,110427.6523,0.4874,0.2002,1.5644,0.003,0,0.2648,14.9866,0.2172
