Longitude;Latitude;Diplodus_sargus_sargus;Mullus_surmuletus
-5.89;35.71;1;1
-5.89;35.81;0;1
-5.89;35.91;0;0
-5.89;36.01;0;0
-5.89;36.11;0;1
-5.89;36.21;1;1
-5.79;35.81;1;1
-5.79;35.91;0;0
-5.79;36.01;1;1
-5.79;36.11;1;1
-5.69;35.81;1;1
-5.69;35.91;0;0
-5.69;36.01;1;1
-5.69;36.11;1;1
-5.59;35.81;1;1
-5.59;35.91;0;1
-5.59;36.01;1;1
-5.59;36.11;1;1
-5.49;35.91;1;1
-5.49;36.01;1;1
-5.49;36.11;0;0
-5.39;35.81;1;1
-5.39;35.91;0;0
-5.39;36.01;0;0
-5.39;36.11;1;1
-5.39;36.21;1;1
-5.29;35.61;1;1
-5.29;35.71;1;1
-5.29;35.81;1;1
-5.29;35.91;1;1
-5.29;36.01;0;0
-5.29;36.11;1;1
-5.29;36.21;1;1
-5.29;36.31;1;1
-5.19;35.51;1;1
-5.19;35.61;1;1
-5.19;35.71;0;0
-5.19;35.81;0;0
-5.19;35.91;0;0
-5.19;36.01;0;0
-5.19;36.11;0;0
-5.19;36.21;0;0
-5.19;36.31;1;1
-5.19;36.41;1;1
-5.09;35.41;1;1
-5.09;35.51;1;1
-5.09;35.61;0;0
-5.09;35.71;0;0
-5.09;35.81;0;0
-5.09;35.91;0;0
-5.09;36.01;0;0
-5.09;36.11;0;0
-5.09;36.21;0;0
-5.09;36.31;0;0
-5.09;36.41;1;1
-4.99;35.31;1;1
-4.99;35.41;1;1
-4.99;35.51;0;0
-4.99;35.61;0;0
-4.99;35.71;0;0
-4.99;35.81;0;0
-4.99;35.91;0;0
-4.99;36.01;0;0
-4.99;36.11;0;0
-4.99;36.21;0;0
-4.99;36.31;0;0
-4.99;36.41;1;1
-4.99;36.51;1;1
-4.89;35.31;1;1
-4.89;35.41;0;0
-4.89;35.51;0;0
-4.89;35.61;0;0
-4.89;35.71;0;0
-4.89;35.81;0;0
-4.89;35.91;0;0
-4.89;36.01;0;0
-4.89;36.11;0;0
-4.89;36.21;0;0
-4.89;36.31;0;0
-4.89;36.41;0;1
-4.89;36.51;1;1
-4.79;35.21;1;1
-4.79;35.31;1;1
-4.79;35.41;0;0
-4.79;35.51;0;0
-4.79;35.61;0;0
-4.79;35.71;0;0
-4.79;35.81;0;0
-4.79;35.91;0;0
-4.79;36.01;0;0
-4.79;36.11;0;0
-4.79;36.21;0;0
-4.79;36.31;0;0
-4.79;36.41;0;1
-4.79;36.51;1;1
-4.69;35.21;1;1
-4.69;35.31;0;0
-4.69;35.41;0;0
-4.69;35.51;0;0
-4.69;35.61;0;0
-4.69;35.71;0;0
-4.69;35.81;0;0
-4.69;35.91;0;0
-4.69;36.01;0;0
-4.69;36.11;0;0
-4.69;36.21;0;0
-4.69;36.31;0;0
-4.69;36.41;0;1
-4.69;36.51;1;1
-4.59;35.21;1;1
-4.59;35.31;0;0
-4.59;35.41;0;0
-4.59;35.51;0;0
-4.59;35.61;0;0
-4.59;35.71;0;0
-4.59;35.81;0;0
-4.59;35.91;0;0
-4.59;36.01;0;0
-4.59;36.11;0;0
-4.59;36.21;0;0
-4.59;36.31;0;0
-4.59;36.41;0;0
-4.59;36.51;1;1
-4.59;36.61;1;1
-4.49;35.21;1;1
-4.49;35.31;0;0
-4.49;35.41;0;0
-4.49;35.51;0;0
-4.49;35.61;0;0
-4.49;35.71;0;0
-4.49;35.81;0;0
-4.49;35.91;0;0
-4.49;36.01;0;0
-4.49;36.11;0;0
-4.49;36.21;0;0
-4.49;36.31;0;0
-4.49;36.41;0;0
-4.49;36.51;0;1
-4.49;36.61;1;1
-4.49;36.71;1;1
-4.39;35.11;1;1
-4.39;35.21;1;1
-4.39;35.31;0;0
-4.39;35.41;0;1
-4.39;35.51;0;0
-4.39;35.61;0;0
-4.39;35.71;0;0
-4.39;35.81;0;0
-4.39;35.91;0;0
-4.39;36.01;0;0
-4.39;36.11;0;0
-4.39;36.21;0;0
-4.39;36.31;0;0
-4.39;36.41;0;0
-4.39;36.51;0;0
-4.39;36.61;0;1
-4.39;36.71;1;1
-4.29;35.21;1;1
-4.29;35.31;0;1
-4.29;35.41;0;1
-4.29;35.51;0;0
-4.29;35.61;0;0
-4.29;35.71;0;0
-4.29;35.81;0;0
-4.29;35.91;0;0
-4.29;36.01;0;0
-4.29;36.11;0;0
-4.29;36.21;0;0
-4.29;36.31;0;0
-4.29;36.41;0;0
-4.29;36.51;0;0
-4.29;36.61;0;0
-4.29;36.71;0;1
-4.19;35.21;1;1
-4.19;35.31;0;0
-4.19;35.41;0;0
-4.19;35.51;0;0
-4.19;35.61;0;0
-4.19;35.71;0;0
-4.19;35.81;0;0
-4.19;35.91;0;0
-4.19;36.01;0;0
-4.19;36.11;0;0
-4.19;36.21;0;0
-4.19;36.31;0;0
-4.19;36.41;0;0
-4.19;36.51;0;0
-4.19;36.61;0;0
-4.19;36.71;0;1
-4.09;35.21;1;1
-4.09;35.31;0;0
-4.09;35.41;0;0
-4.09;35.51;0;0
-4.09;35.61;0;0
-4.09;35.71;0;0
-4.09;35.81;0;0
-4.09;35.91;0;0
-4.09;36.01;0;0
-4.09;36.11;0;0
-4.09;36.21;0;0
-4.09;36.31;0;0
-4.09;36.41;0;0
-4.09;36.51;0;0
-4.09;36.61;0;0
-4.09;36.71;1;1
-3.99;35.21;1;1
-3.99;35.31;0;1
-3.99;35.41;0;0
-3.99;35.51;0;0
-3.99;35.61;0;0
-3.99;35.71;0;0
-3.99;35.81;0;0
-3.99;35.91;0;0
-3.99;36.01;0;0
-3.99;36.11;0;0
-3.99;36.21;0;0
-3.99;36.31;0;0
-3.99;36.41;0;0
-3.99;36.51;0;0
-3.99;36.61;0;0
-3.99;36.71;1;1
-3.89;35.21;0;1
-3.89;35.31;0;0
-3.89;35.41;0;0
-3.89;35.51;0;0
-3.89;35.61;0;0
-3.89;35.71;0;0
-3.89;35.81;0;0
-3.89;35.91;0;0
-3.89;36.01;0;0
-3.89;36.11;0;0
-3.89;36.21;0;0
-3.89;36.31;0;0
-3.89;36.41;0;0
-3.89;36.51;0;0
-3.89;36.61;0;0
-3.89;36.71;0;1
-3.79;35.21;1;1
-3.79;35.31;1;1
-3.79;35.41;0;0
-3.79;35.51;0;0
-3.79;35.61;0;0
-3.79;35.71;0;0
-3.79;35.81;0;0
-3.79;35.91;0;0
-3.79;36.01;0;0
-3.79;36.11;0;0
-3.79;36.21;0;0
-3.79;36.31;0;0
-3.79;36.41;0;0
-3.79;36.51;0;0
-3.79;36.61;0;0
-3.79;36.71;0;1
-3.69;35.31;1;1
-3.69;35.41;0;0
-3.69;35.51;0;0
-3.69;35.61;0;0
-3.69;35.71;0;0
-3.69;35.81;0;0
-3.69;35.91;0;0
-3.69;36.01;0;0
-3.69;36.11;0;0
-3.69;36.21;0;0
-3.69;36.31;0;0
-3.69;36.41;0;0
-3.69;36.51;0;0
-3.69;36.61;0;0
-3.69;36.71;0;1
-3.59;35.21;1;1
-3.59;35.31;0;1
-3.59;35.41;0;0
-3.59;35.51;0;0
-3.59;35.61;0;0
-3.59;35.71;0;0
-3.59;35.81;0;0
-3.59;35.91;0;0
-3.59;36.01;0;0
-3.59;36.11;0;0
-3.59;36.21;0;0
-3.59;36.31;0;0
-3.59;36.41;0;0
-3.59;36.51;0;0
-3.59;36.61;0;0
-3.59;36.71;1;1
-3.49;35.21;1;1
-3.49;35.31;0;1
-3.49;35.41;0;0
-3.49;35.51;0;0
-3.49;35.61;0;0
-3.49;35.71;0;0
-3.49;35.81;0;0
-3.49;35.91;0;0
-3.49;36.01;0;0
-3.49;36.11;0;0
-3.49;36.21;0;0
-3.49;36.31;0;0
-3.49;36.41;0;0
-3.49;36.51;0;0
-3.49;36.61;0;0
-3.49;36.71;1;1
-3.39;35.21;1;1
-3.39;35.31;0;1
-3.39;35.41;0;0
-3.39;35.51;0;0
-3.39;35.61;0;0
-3.39;35.71;0;0
-3.39;35.81;0;0
-3.39;35.91;0;0
-3.39;36.01;0;0
-3.39;36.11;0;0
-3.39;36.21;0;0
-3.39;36.31;0;0
-3.39;36.41;0;0
-3.39;36.51;0;0
-3.39;36.61;0;0
-3.39;36.71;1;1
-3.29;35.21;0;1
-3.29;35.31;0;1
-3.29;35.41;0;0
-3.29;35.51;0;0
-3.29;35.61;0;0
-3.29;35.71;0;0
-3.29;35.81;0;0
-3.29;35.91;0;0
-3.29;36.01;0;0
-3.29;36.11;0;0
-3.29;36.21;0;0
-3.29;36.31;0;0
-3.29;36.41;0;0
-3.29;36.51;0;0
-3.29;36.61;0;0
-3.29;36.71;0;1
-3.29;36.81;0;0
-3.19;35.21;1;1
-3.19;35.31;1;1
-3.19;35.41;0;0
-3.19;35.51;0;0
-3.19;35.61;0;0
-3.19;35.71;0;0
-3.19;35.81;0;0
-3.19;35.91;0;0
-3.19;36.01;0;0
-3.19;36.11;0;0
-3.19;36.21;0;0
-3.19;36.31;0;0
-3.19;36.41;0;0
-3.19;36.51;0;0
-3.19;36.61;0;0
-3.19;36.71;0;0
-3.09;35.31;0;1
-3.09;35.41;0;1
-3.09;35.51;0;0
-3.09;35.61;0;0
-3.09;35.71;0;0
-3.09;35.81;0;0
-3.09;35.91;0;1
-3.09;36.01;0;0
-3.09;36.11;0;0
-3.09;36.21;0;0
-3.09;36.31;0;0
-3.09;36.41;0;0
-3.09;36.51;0;0
-3.09;36.61;0;0
-3.09;36.71;0;1
-2.99;35.31;1;1
-2.99;35.41;1;1
-2.99;35.51;0;0
-2.99;35.61;0;0
-2.99;35.71;0;0
-2.99;35.81;0;0
-2.99;35.91;1;1
-2.99;36.01;1;1
-2.99;36.11;0;0
-2.99;36.21;0;0
-2.99;36.31;0;0
-2.99;36.41;0;0
-2.99;36.51;0;0
-2.99;36.61;0;1
-2.99;36.71;1;1
-2.89;35.11;1;1
-2.89;35.21;1;1
-2.89;35.31;1;1
-2.89;35.41;0;1
-2.89;35.51;0;0
-2.89;35.61;0;0
-2.89;35.71;0;0
-2.89;35.81;0;0
-2.89;35.91;0;0
-2.89;36.01;0;1
-2.89;36.11;0;0
-2.89;36.21;0;0
-2.89;36.31;0;0
-2.89;36.41;0;0
-2.89;36.51;0;0
-2.89;36.61;0;1
-2.89;36.71;1;1
-2.79;35.11;1;1
-2.79;35.21;1;1
-2.79;35.31;0;0
-2.79;35.41;0;0
-2.79;35.51;0;0
-2.79;35.61;0;0
-2.79;35.71;0;0
-2.79;35.81;0;0
-2.79;35.91;0;0
-2.79;36.01;0;0
-2.79;36.11;0;0
-2.79;36.21;0;0
-2.79;36.31;0;0
-2.79;36.41;0;0
-2.79;36.51;0;0
-2.79;36.61;1;1
-2.79;36.71;1;1
-2.69;35.11;1;1
-2.69;35.21;0;1
-2.69;35.31;0;0
-2.69;35.41;0;0
-2.69;35.51;0;0
-2.69;35.61;0;0
-2.69;35.71;0;0
-2.69;35.81;0;0
-2.69;35.91;0;0
-2.69;36.01;0;0
-2.69;36.11;0;0
-2.69;36.21;0;0
-2.69;36.31;0;0
-2.69;36.41;0;0
-2.69;36.51;0;0
-2.69;36.61;0;1
-2.69;36.71;1;1
-2.59;35.11;0;1
-2.59;35.21;0;0
-2.59;35.31;0;0
-2.59;35.41;0;0
-2.59;35.51;0;0
-2.59;35.61;0;0
-2.59;35.71;0;0
-2.59;35.81;0;0
-2.59;35.91;0;0
-2.59;36.01;0;0
-2.59;36.11;0;0
-2.59;36.21;0;0
-2.59;36.31;0;0
-2.59;36.41;0;0
-2.59;36.51;0;0
-2.59;36.61;0;0
-2.59;36.71;1;1
-2.59;36.81;1;1
-2.49;35.11;1;1
-2.49;35.21;0;1
-2.49;35.31;0;0
-2.49;35.41;0;0
-2.49;35.51;0;0
-2.49;35.61;0;0
-2.49;35.71;0;0
-2.49;35.81;0;0
-2.49;35.91;0;0
-2.49;36.01;0;0
-2.49;36.11;0;0
-2.49;36.21;0;0
-2.49;36.31;0;0
-2.49;36.41;0;0
-2.49;36.51;0;0
-2.49;36.61;0;0
-2.49;36.71;0;0
-2.49;36.81;1;1
-2.39;35.11;1;1
-2.39;35.21;1;1
-2.39;35.31;0;0
-2.39;35.41;0;0
-2.39;35.51;0;0
-2.39;35.61;0;0
-2.39;35.71;0;0
-2.39;35.81;0;0
-2.39;35.91;0;0
-2.39;36.01;0;0
-2.39;36.11;0;0
-2.39;36.21;0;0
-2.39;36.31;0;0
-2.39;36.41;0;0
-2.39;36.51;0;0
-2.39;36.61;0;0
-2.39;36.71;0;0
-2.39;36.81;1;1
-2.29;35.11;1;1
-2.29;35.21;0;1
-2.29;35.31;0;0
-2.29;35.41;0;0
-2.29;35.51;0;0
-2.29;35.61;0;0
-2.29;35.71;0;0
-2.29;35.81;0;0
-2.29;35.91;0;0
-2.29;36.01;0;0
-2.29;36.11;0;0
-2.29;36.21;0;0
-2.29;36.31;0;0
-2.29;36.41;0;0
-2.29;36.51;0;0
-2.29;36.61;0;0
