num;x;left;correct;text;eccolo
1;C11i1;C11;C11;C11;C11
2;C11i3;C11;C11;C11;C11
3;C11i4;C11;C11;C11;C11
4;C11i7;C11;C11;C11;C11
5;C11i9;C11;C11;C11;C11
6;C12i10;C12;C12;C12;C12
7;C12i1;C12;C12;C12;C12
8;C12i2;C12;C12;C12;C12
9;C12i3;C12;C12;C12;C12
10;C12i4;C12;C12;C12;C12
11;C12i5;C12;C12;C12;C12
12;C12i6;C12;C12;C12;C12
13;C12i7;C12;C12;C12;C12
14;C12i8;C12;C12;C12;C12
15;C12i9;C12;C12;C12;C12
16;C13i10;C13;C13;C13;C13
17;C13i1;C13;C13;C13;C13
18;C13i2;C13;C13;C13;C13
19;C13i3;C13;C13;C13;C13
20;C13i4;C13;C13;C13;C13
21;C13i5;C13;C13;C13;C13
22;C13i6;C13;C13;C13;C13
23;C13i7;C13;C13;C13;C13
24;C13i8;C13;C13;C13;C13
25;C13i9;C13;C13;C13;C13
26;C14i3;C14;C14;C14;C14
27;C15i10;C15;C15;C15;C15
28;C15i1;C15;C15;C15;C15
29;C15i4;C15;C15;C15;C15
30;C15i6;C15;C15;C15;C15
31;C15i7;C15;C15;C15;C15
32;C15i8;C15;C15;C15;C15
33;C15i9;C15;C15;C15;C15
34;C18i1;C18;C18;C18;C18
35;C18i2;C18;C18;C18;C18
36;C19i10;C19;C19;C19;C19
37;C19i1;C19;C19;C19;C19
38;C19i3;C19;C19;C19;C19
39;C19i4;C19;C19;C19;C19
40;C19i5;C19;C19;C19;C19
41;C19i8;C19;C19;C19;C19
42;C20i1;C20;C20;C20;C20
43;C20i2;C20;C20;C20;C20
44;C20i6;C20;C20;C20;C20
45;C20i7;C20;C20;C20;C20
46;C25i10;C25;C25;C25;C25
47;C25i1;C25;C25;C25;C25
48;C25i2;C25;C25;C25;C25
49;C25i5;C25;C25;C25;C25
50;C25i6;C25;C25;C25;C25
51;C25i7;C25;C25;C25;C25
52;C25i8;C25;C25;C25;C25
53;C25i9;C25;C25;C25;C25
54;C29i10;C29;C29;C29;C29
55;C29i1;C29;C29;C29;C29
56;C29i2;C29;C29;C29;C29
57;C29i3;C29;C29;C29;C29
58;C29i4;C29;C29;C29;C29
59;C29i6;C29;C29;C29;C29
60;C29i7;C29;C29;C29;C29
61;C29i8;C29;C29;C29;C29
62;C29i9;C29;C29;C29;C29
63;C30i3;C30;C30;C30;C30
64;C30i4;C30;C30;C30;C30
65;C30i5;C30;C30;C30;C30
66;C31i1;C31;C31;C31;C31
67;C31i3;C31;C31;C31;C31
68;C31i4;C31;C31;C31;C31
