num;x;letto;eccolo
1;C100i10;C100;C100
2;C100i1;C100;C100
3;C100i2;C100;C100
4;C100i3;C100;C100
5;C100i4;C100;C100
6;C100i6;C100;C100
7;C100i7;C100;C100
8;C100i8;C100;C100
9;C100i9;C100;C100
10;C10i10;C10;C10
11;C10i1;C10;C10
12;C10i2;C10;C10
13;C10i3;C10;C10
14;C10i4;C10;C10
15;C10i5;C10;C10
16;C10i6;C10;C10
17;C10i7;C10;C10
18;C10i8;C10;C10
19;C10i9;C10;C10
20;C11i10;C11;C11
21;C11i2;C11;C11
22;C11i3;C11;C11
23;C11i4;C11;C11
24;C11i5;C11;C11
25;C11i6;C11;C11
26;C11i7;C11;C11
27;C11i8;C11;C11
28;C11i9;C11;C11
29;C12i10;C12;C12
30;C12i1;C12;C12
31;C12i2;C12;C12
32;C12i3;C12;C12
33;C12i4;C12;C12
34;C12i5;C12;C12
35;C12i7;C12;C12
36;C13i10;C13;C13
37;C13i1;C13;C13
38;C13i4;C13;C13
39;C13i7;C13;C13
40;C13i8;C13;C13
41;C13i9;C13;C13
42;C14i10;C14;C14
43;C14i1;C14;C14
44;C14i2;C14;C14
45;C14i3;C14;C14
46;C14i4;C14;C14
47;C14i5;C14;C14
48;C14i6;C14;C14
49;C14i7;C14;C14
50;C14i8;C14;C14
51;C14i9;C14;C14
52;C15i10;C15;C15
53;C15i1;C15;C15
54;C15i2;C15;C15
55;C15i3;C15;C15
56;C15i4;C15;C15
57;C15i5;C15;C15
58;C15i6;C15;C15
59;C15i8;C15;C15
60;C15i9;C15;C15
61;C16i10;C16;C16
62;C16i2;C16;C16
63;C16i3;C16;C16
64;C16i4;C16;C16
65;C16i5;C16;C16
66;C16i6;C16;C16
67;C16i7;C16;C16
68;C16i8;C16;C16
69;C16i9;C16;C16
70;C18i10;C18;C18
71;C18i2;C18;C18
72;C18i3;C18;C18
73;C18i4;C18;C18
74;C18i5;C18;C18
75;C18i6;C18;C18
76;C18i7;C18;C18
77;C18i8;C18;C18
78;C19i10;C19;C19
79;C19i2;C19;C19
80;C19i3;C19;C19
81;C19i4;C19;C19
82;C19i5;C19;C19
83;C19i6;C19;C19
84;C19i8;C19;C19
85;C19i9;C19;C19
86;C20i10;C20;C20
87;C20i1;C20;C20
88;C20i2;C20;C20
89;C20i3;C20;C20
90;C20i4;C20;C20
91;C20i5;C20;C20
92;C20i6;C20;C20
93;C20i7;C20;C20
94;C20i8;C20;C20
95;C20i9;C20;C20
96;C24i10;C24;C24
97;C24i1;C24;C24
98;C24i2;C24;C24
99;C24i3;C24;C24
100;C24i4;C24;C24
101;C24i5;C24;C24
102;C24i6;C24;C24
103;C24i7;C24;C24
104;C24i8;C24;C24
105;C24i9;C24;C24
106;C25i1;C25;C25
107;C25i2;C25;C25
108;C25i3;C25;C25
109;C25i4;C25;C25
110;C27i2;C27;C27
111;C27i3;C27;C27
112;C27i4;C27;C27
113;C27i9;C27;C27
114;C29i10;C29;C29
115;C29i1;C29;C29
116;C29i2;C29;C29
117;C29i3;C29;C29
118;C29i7;C29;C29
119;C29i8;C29;C29
120;C29i9;C29;C29
121;C30i10;C30;C30
122;C30i2;C30;C30
123;C30i3;C30;C30
124;C30i4;C30;C30
125;C30i5;C30;C30
126;C30i6;C30;C30
127;C30i7;C30;C30
128;C30i8;C30;C30
129;C30i9;C30;C30
130;C32i9;C32;C32
131;C33i10;C33;C33
132;C33i1;C33;C33
133;C33i2;C33;C33
134;C33i3;C33;C33
135;C33i4;C33;C33
136;C33i5;C33;C33
137;C33i6;C33;C33
138;C33i7;C33;C33
139;C33i8;C33;C33
140;C33i9;C33;C33
141;C34i10;C34;C34
142;C34i2;C34;C34
143;C34i3;C34;C34
144;C34i4;C34;C34
145;C34i5;C34;C34
146;C34i6;C34;C34
147;C34i7;C34;C34
148;C34i8;C34;C34
149;C34i9;C34;C34
150;C35i10;C35;C35
151;C35i2;C35;C35
152;C35i3;C35;C35
153;C35i4;C35;C35
154;C35i5;C35;C35
155;C35i6;C35;C35
156;C35i7;C35;C35
157;C35i8;C35;C35
158;C35i9;C35;C35
159;C36i10;C36;C36
160;C36i1;C36;C36
161;C36i5;C36;C36
162;C36i7;C36;C36
163;C36i8;C36;C36
164;C36i9;C36;C36
165;C37i10;C37;C37
166;C37i1;C37;C37
167;C37i2;C37;C37
168;C37i3;C37;C37
169;C37i4;C37;C37
170;C37i5;C37;C37
171;C37i7;C37;C37
172;C37i8;C37;C37
173;C37i9;C37;C37
174;C38i1;C38;C38
175;C38i3;C38;C38
176;C38i5;C38;C38
177;C38i7;C38;C38
178;C38i9;C38;C38
179;C39i1;C39;C39
180;C39i3;C39;C39
181;C39i4;C39;C39
182;C39i7;C39;C39
183;C39i8;C39;C39
184;C3i10;C3;C3
185;C3i1;C3;C3
186;C3i3;C3;C3
187;C3i4;C3;C3
188;C3i5;C3;C3
189;C3i6;C3;C3
190;C3i7;C3;C3
191;C3i8;C3;C3
192;C3i9;C3;C3
193;C40i10;C40;C40
194;C40i1;C40;C40
195;C40i2;C40;C40
196;C40i4;C40;C40
197;C40i5;C40;C40
198;C40i6;C40;C40
199;C40i8;C40;C40
200;C40i9;C40;C40
201;C43i10;C43;C43
202;C43i1;C43;C43
203;C43i2;C43;C43
204;C43i4;C43;C43
205;C43i6;C43;C43
206;C43i7;C43;C43
207;C43i8;C43;C43
208;C43i9;C43;C43
209;C45i10;C45;C45
210;C45i1;C45;C45
211;C45i2;C45;C45
212;C45i3;C45;C45
213;C45i4;C45;C45
214;C45i5;C45;C45
215;C45i6;C45;C45
216;C45i8;C45;C45
217;C45i9;C45;C45
218;C46i10;C46;C46
219;C46i1;C46;C46
220;C46i2;C46;C46
221;C46i3;C46;C46
222;C46i5;C46;C46
223;C46i7;C46;C46
224;C46i8;C46;C46
225;C46i9;C46;C46
226;C47i10;C47;C47
227;C47i2;C47;C47
228;C47i3;C47;C47
229;C47i4;C47;C47
230;C47i5;C47;C47
231;C47i6;C47;C47
232;C47i7;C47;C47
233;C47i8;C47;C47
234;C47i9;C47;C47
235;C48i10;C48;C48
236;C48i1;C48;C48
237;C48i2;C48;C48
238;C48i3;C48;C48
239;C48i4;C48;C48
240;C48i5;C48;C48
241;C48i7;C48;C48
242;C48i8;C48;C48
243;C48i9;C48;C48
244;C4i10;C4;C4
245;C4i1;C4;C4
246;C4i2;C4;C4
247;C4i3;C4;C4
248;C4i5;C4;C4
249;C4i6;C4;C4
250;C4i7;C4;C4
251;C4i8;C4;C4
252;C4i9;C4;C4
253;C51i10;C51;C51
254;C51i1;C51;C51
255;C51i2;C51;C51
256;C51i3;C51;C51
257;C51i4;C51;C51
258;C51i6;C51;C51
259;C51i7;C51;C51
260;C51i8;C51;C51
261;C51i9;C51;C51
262;C52i10;C52;C52
263;C52i1;C52;C52
264;C52i2;C52;C52
265;C52i3;C52;C52
266;C52i4;C52;C52
267;C52i8;C52;C52
268;C52i9;C52;C52
269;C53i1;C53;C53
270;C53i2;C53;C53
271;C53i3;C53;C53
272;C53i4;C53;C53
273;C55i10;C55;C55
274;C55i1;C55;C55
275;C55i2;C55;C55
276;C55i5;C55;C55
277;C55i6;C55;C55
278;C55i7;C55;C55
279;C55i8;C55;C55
280;C56i10;C56;C56
281;C56i1;C56;C56
282;C56i2;C56;C56
283;C56i3;C56;C56
284;C56i4;C56;C56
285;C56i5;C56;C56
286;C56i6;C56;C56
287;C56i7;C56;C56
288;C56i8;C56;C56
289;C56i9;C56;C56
290;C5i10;C5;C5
291;C5i1;C5;C5
292;C5i2;C5;C5
293;C5i3;C5;C5
294;C5i4;C5;C5
295;C5i5;C5;C5
296;C5i7;C5;C5
297;C5i8;C5;C5
298;C5i9;C5;C5
299;C65i10;C65;C65
300;C68i10;C68;C68
301;C68i1;C68;C68
302;C68i2;C68;C68
303;C68i3;C68;C68
304;C68i5;C68;C68
305;C68i6;C68;C68
306;C68i7;C68;C68
307;C68i8;C68;C68
308;C68i9;C68;C68
309;C69i10;C69;C69
310;C69i9;C69;C69
311;C6i10;C6;C6
312;C6i2;C6;C6
313;C6i3;C6;C6
314;C6i4;C6;C6
315;C6i5;C6;C6
316;C6i6;C6;C6
317;C6i7;C6;C6
318;C6i8;C6;C6
319;C6i9;C6;C6
320;C72i10;C72;C72
321;C72i1;C72;C72
322;C72i2;C72;C72
323;C72i3;C72;C72
324;C72i4;C72;C72
325;C72i5;C72;C72
326;C72i6;C72;C72
327;C72i7;C72;C72
328;C72i8;C72;C72
329;C72i9;C72;C72
330;C73i1;C73;C73
331;C73i2;C73;C73
332;C73i3;C73;C73
333;C73i4;C73;C73
334;C73i5;C73;C73
335;C73i6;C73;C73
336;C73i7;C73;C73
337;C73i9;C73;C73
338;C74i10;C74;C74
339;C74i12;C74;C74
340;C74i13;C74;C74
341;C74i4;C74;C74
342;C74i6;C74;C74
343;C74i8;C74;C74
344;C74i9;C74;C74
345;C80i1;C80;C80
346;C80i3;C80;C80
347;C80i4;C80;C80
348;C80i5;C80;C80
349;C80i9;C80;C80
350;C82i2;C82;C82
351;C82i3;C82;C82
352;C82i4;C82;C82
353;C82i7;C82;C82
354;C83i10;C83;C83
355;C83i1;C83;C83
356;C83i2;C83;C83
357;C83i3;C83;C83
358;C83i4;C83;C83
359;C83i5;C83;C83
360;C83i6;C83;C83
361;C83i7;C83;C83
362;C84i10;C84;C84
363;C84i1;C84;C84
364;C84i2;C84;C84
365;C84i3;C84;C84
366;C84i8;C84;C84
367;C85i10;C85;C85
368;C85i1;C85;C85
369;C85i2;C85;C85
370;C85i3;C85;C85
371;C85i4;C85;C85
372;C85i5;C85;C85
373;C85i6;C85;C85
374;C85i8;C85;C85
375;C85i9;C85;C85
376;C86i1;C86;C86
377;C86i2;C86;C86
378;C86i3;C86;C86
379;C86i4;C86;C86
380;C86i5;C86;C86
381;C87i10;C87;C87
382;C87i1;C87;C87
383;C87i3;C87;C87
384;C87i5;C87;C87
385;C88i1;C88;C88
386;C88i10;C88;C88
387;C88i2;C88;C88
388;C88i3;C88;C88
389;C88i4;C88;C88
390;C88i5;C88;C88
391;C88i6;C88;C88
392;C88i7;C88;C88
393;C89i1;C89;C89
394;C89i2;C89;C89
395;C89i4;C89;C89
396;C89i5;C89;C89
397;C89i7;C89;C89
398;C89i8;C89;C89
399;C89i9;C89;C89
400;C8i10;C8;C8
401;C8i3;C8;C8
402;C90i1;C90;C90
403;C90i2;C90;C90
404;C90i5;C90;C90
405;C90i6;C90;C90
406;C90i7;C90;C90
407;C91i1;C91;C91
408;C91i10;C91;C91
409;C91i2;C91;C91
410;C91i3;C91;C91
411;C91i4;C91;C91
412;C91i5;C91;C91
413;C91i6;C91;C91
414;C91i7;C91;C91
415;C91i9;C91;C91
416;C92i10;C92;C92
417;C92i2;C92;C92
418;C92i3;C92;C92
419;C92i4;C92;C92
420;C92i6;C92;C92
421;C92i7;C92;C92
422;C92i9;C92;C92
